Species,Habitat,Schooling,Marine_Brackish
Amblygaster clupeoides,D,1,M
Carangoides malabaricus,D,,M
Chirocentrus dorab,D,,MB
Dussumieria acuta,P,,MB
Eubleekeria splendens,D,1,MB
Exocoetus volitans,P,1,M
Fistularia petimba,D,,MB
Hemiramphus far,D,1,MB
Hilsa kelee,P,,MB
Hyporhamphus dussumieri,D,,M
Ilisha melastoma,P,,MB
Lates calcarifer,D,,MB
Mystus gulio,D,,B
Otolithes ruber,D,,MB
Oxyurichthys microlepis,D,,MB
Parastromateus niger,D,1,MB
Pomadasys maculatus,D,,MB
Rastrelliger kanagurta,P,1,M
Sardinella brachysoma,P,1,M
Sardinella gibbosa,P,1,M
Sardinella longiceps,P,1,M
Sardinella sindensis,P,1,M
Sardinella sp.,P,1,M
Selaroides leptolepis,D,1,MB
Siganus oramin,D,,MB
Sphyraena obtusata,D,1,MB
Stolephorus commersonnii,P,1,MB
Strongylura leiura,D,,MB
Strongylura strongylura,D,,MB
Terapon puta,D,,MB
Thryssa dussumieri,P,1,MB
Thryssa mystax ,P,1,MB
Trachinocephalus myops,D,,M
Trichurus lepturus ,D,,MB
Upeneus sulphureus,D,1,MB
