Species,Habitat,Schooling,Marine_Brackish
Ablennes hians,D,1,MB
Alepes djedaba,P,1,M
Alepes kleinii,P,,M
Arius arius,D,,MB
Arius maculatus,D,1,MB
Carangoides malabaricus,P,,M
Deveximentum insidiator,D,1,MB
Dusumeria acuta,P,1,MB
Epinephelus coioides,DP,0,MB
Escualosa thoracata,P,1,MB
Eubleekeria splendens,P,1,MB
Lactarius lactarius,P,,MB
Leiognathus blochii.,P,,MB
Leiognathus longispinus,D,,MB
Leognathus splendens,P,1,MB
Lutjanus jonhii,D,,MB
Lutjanus lutjanus,D,1,M
Nemipterus japonicas,D,,M
Nibea maculate,D,,M
Opisthopterus tardoore,P,,MB
Parastromateus niger,D,1,MB
Plotosus lineatus,D,,M
Priacanthus tayneus,D,,M
Rastrelliger kanagurta,P,1,M
Rhynchoramphus,,,
Sardinella gibbosa,P,1,M
Sardinella longiceps,P,1,M
Scleroides leptolepis,D,1,M
Secuter insidiator,D,1,MB
Setipinna taty,P,1,MB
Siganus canaliculatus,D,1,MB
Siganus javus,D,1,MB
Terapon jarbua,D,,MB
Thryssa dussummeri,P,1,M
Carangoides ferdau,D,1,MB
Lobotes surinamensis,D,,M
Stophedin sathete,D,,MB
Nemipterus randalli,D,,M
