,Agarna malayi,Anilocra dimidiate,Catoessa boscii,Cymothoa eremita,Cymothoa frontalis,Cymothoa indica,Joryma hilsae,Joryma malabaricus,Joryma sawayah,Lobothorax typus,Mothocya colletei,Mothocya renardi,Nerocila depressa,Nerocila loveni,Nerocila orbignyi,Nerocila phaiopleura,Nerocila poruvae,Nerocila serra,Nerocila sigani,Nerocila sundaica,Norileca indica
Ablennes hians,,,,,,,,,,,,,,,,,1,,,,
Acanthopagrus berda,,,,,,1,,,,,,,,,,,,,,,
Alepes djedaba,,,96,,,,,,,,,,,,,,31,1,,,
Alepes kleinii,,,12,,,,,,,,,,,,,,,,,,
Ambassis ambassis,,,,,,1,,,,,,,,,,,,,,,
Arius arius,,1,,,,1,,,,,,,,,,,,9,,,
Arius maculatus,,,,,,,,,,,,,,,,,,2,,,
Carangoides ferdau,,,1,,,,,,,,,,,,,,,,,,
Carangoides malabaricus,,,9,,,,,,,,,,1,,,6,,,,,
Chirocentrus nudus,,,,,,,,,,,,,,,,2,,9,,,
Datnoides polota,,,,,,1,,,,,,,,,,,,,,,
Deveximentum insidiator,,,,,,,,,,,,,,1,,,,,,,
Dusumeria acuta,,,,,,,,,,,,,,,,4,,,,,
Epinephelus coioides,,,,,,,,,,,,,,,,2,,,,,
Escualosa thoracata,,,,,,,,,,,,,,9,,,,,,,
Etroplus suratensis,,,,,,39,,,,,,,,,,,,,,,
Eubleekeria splendens,,,,,,,,,,,,,,1,,,,,,,
Gerres oyena,,,,,,1,,,,,,,,,,,,,,,
Glossoglobius guiris,,,,,1,414,,,,,,,,,,,,,,,
Hexanematichthys sagor,,,,,,,,,,,,,,,,,,1,,,
Ilisha melastoma,,,,,,,1,1,20,,,,,,,,,,,,
Jonhius carutta,,,,,,1,,,,,,,,,,,,,,,
Jonhius dussumieri,,,,,,70,,,,,,,,,,,,,,,
Karalla daura,,1,,,,,,,,,,,,,,,,,,,
Lactarius lactarius,,1,,,,,,,,,,,,,,,,,,,
Latece calcarifer,,,,,,30,,,,,,,,,,,,,,,
Leiognathus blochii.,,3,2,,,,,,,,,,,,,,,,,,
Leiognathus longispinus,,,,,,,,,,,,,,1,,,,,,,
Leognathus splendens,,,,,,,,,,,,,,,,6,,,,,
Lepturacanthus savala,,,,,,,,,,21,,,,,,,,,,,
Lobotes surinamensis,,,1,,,,,,,,,,,,,,,,,,
Lutjanus jonhii,,,,1,,,,,,,,,,,,,,,,,
Lutjanus lutjanus,,,,,,,,,,,,,,,,,,,2,,
Mugil cephalus,,,,,,,,,,,,,,,1,,,,,,
Nematolosa nasus,1,,,,,,,,,,,,,,,,,,,,
Nemipterus japonicas,,,,,,,,,,,,,,,,,,,11,,
Nemipterus randalli,,1,,,,,,,,,,,,,,,,,,,
Nibea maculate,,,,,,,,,,,,,,,,,,6,,,
Opisthopterus tardoore,,,,,,,,,,,,,6,,,10,,,,,
Oreochromis mosambicus,,,,,,3,,,,,,,,,,,,,,,
Parastromateus niger,,,,,,,,,,,,,,,,5,,,1,,
Plotosus canius,,,,,,,,,,,,,,,1,,,,,,
Plotosus lineatus,,,,,,,,,,,,,,,,,,7,,,
Priacanthus tayneus,,1,,,,,,,,,,,,,,,1,,2,,
Rastrelliger kanagurta,,,,,,,,,,,,,,,,20,,,,,28
Rhynchoramphus georgii,,,,,,,,,,,,,,,,,1,,,,
Sardinella gibbosa,,,,,,,,,,,,,8,,,46,,,,,
Sardinella longiceps,,13,,,,,,,,,,,1,,,23,,,,,
Scleroides leptolepis,,,,,,,,,,,,,,,,6,,,,,
Secuter insidiator,,,,,,,,,,,,,,12,,,,,,,
Selaroides leptulepis,,,,,,,,,,,,,,,,,,,,,
Setipinna taty,,,,,,,,,,,,,,,,1,4,,,,
Siganus canaliculatus,,,,,,,,,,,,,29,,,,2,8,1,,
Siganus javus,,,,,,1,,,,,,,,,,1,,,,,
Stophedin sathete,,,1,,,,,,,,,,,,,,,,,,
Strongylura leura,,,,,,,,,,,1,25,,,,,,,,,
Strongylura strongylura,,,,,49,,,,,,,,,,,,,,,,
Terapon jarbua,,,,,,,,,,,,,,,,,1,,,3,
Terapon puta,,,,,,,,,,,,,,,,,,,1,,
Terapon threps,,,,,,,,,,,,,,,,,,,,,
Thryssa dussummeri,,,,,,,,,,,,,,,,7,,,,,
