Species,RegionAttachmnet
Agarna malayi,B
Cymothoa parupenei,M
Cymothoa frontalis,M
Cymothoa indica,M
Cymothoa angulata,M
Cymorhoa eremita,M
Cymothoa bychowskyi,M
Joryma sawayah,B
Joryma hilsae,B
Lobothorax typus Bleeker,M
Nerocila loveni,E
Nerocila sundaica,E
Nerocila depressa,E
Nerocila arres,E
Nerocila loveni,E
Nerocila purovae,E
Nerocila sigani,E
Norileca indica,B
Norileca triangulata,B
Nerocila phaiopleura,E
Nerocila longispina,E
Anilocra dimidiata ,E
Mothocya plagulophora,B
Mothocya renardi,B
Mothocya melanostica,B
Mothocya karobran,B
Catoessa boscii,M
Ryukyua circularis,B
Ryukyua globosa,B
