,Cymothoa parupenei,Cymothoa frontalis,Cymothoa indica,Cymothoa angulata,Cymorhoa eremita,Cymothoa bychowskyi,Joryma sawayah,Joryma hilsae,Lobothorax typus,Nerocila loveni,Nerocila sundaica,Nerocila depressa,Nerocila arres,Nerocila purovae,Nerocila sigani,Norileca indica,Norileca triangulata,Nerocila phaiopleura,Nerocila longispina,Anilocra dimidiata ,Mothocya plagulophora,Mothocya renardi,Mothocya melanostica,Mothocya karobran,Catoessa boscii,Ryukyua circularis,Ryukyua globosa
Amblygaster clupeoides,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carangoides malabaricus,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Chirocentrus dorab,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Dussumieria acuta,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Eubleekeria splendens,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Exocoetus volitans,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Fistularia petimba,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Hemiramphus far,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
Hilsa kelee,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Hyporhamphus dussumieri,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Ilisha melastoma,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Lates calcarifer,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Mystus gulio,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Otolithes ruber,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Oxyurichthys microlepis,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Parastromateus niger,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Pomadasys maculatus,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Rastrelliger kanagurta,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
Sardinella brachysoma,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Sardinella gibbosa,,,,,,,,,,,,,,,,,1,,,,,,1,,,,
Sardinella longiceps,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
Sardinella sindensis,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,
Sardinella sp.,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Selaroides leptolepis,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Siganus oramin,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Sphyraena obtusata,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Stolephorus commersonnii,,,,,,,,1,,,,,,,,,,1,,,,,,,,,
Strongylura leiura,,1,,,,,,,,,,,1,,,,,,,,,1,,1,,,
Strongylura strongylura,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Terapon puta,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Thryssa dussumieri,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Thryssa mystax ,,,,,,,,,,,,,,1,,,,1,,,,,,,,,
Trachinocephalus myops,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trichurus lepturus ,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
Upeneus sulphureus,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
