Species,RegionAttachmnet,degree,host.specificity.index,HPDI,effective.partners
Agarna malayi,B,1,1,1,1
Anilocra dimidiata,E,7,0.636301181,0.98938992,3.668386914
Catoessa boscii,M,7,0.792766438,0.99533046,2.213405638
Cymothoa eremita,M,1,1,1,1
Cymothoa frontalis,M,2,0.979859244,0.999648135,1.103005926
Cymothoa indica,M,12,0.745897017,0.993794769,2.542320943
Joryma hilsae,B,1,1,1,1
Joryma malabaricus,B,1,1,1,1
Joryma sawayah,B,1,1,1,1
Lobothorax typus,M,1,1,1,1
Mothocya colletei,B,1,1,1,1
Mothocya renardi,B,1,1,1,1
Nerocila depressa,E,5,0.675623106,0.990487515,2.795602482
Nerocila loveni,E,5,0.620819351,0.982758621,3.039342743
Nerocila orbignyi,E,2,0.700984529,0.982758621,2
Nerocila phaiopleura,E,14,0.399114597,0.965142429,8.200286972
Nerocila poruvae,E,7,0.760803608,0.994438265,2.580756128
Nerocila serra,E,8,0.396432309,0.9348659,6.39508943
Nerocila sigani,E,6,0.63023035,0.989028213,3.564267656
Nerocila sundaica,E,1,1,1,1
Norileca indica,B,1,1,1,1
